| distributed init (rank 1): env://
dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: online_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-online_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: online_vq_refinement_False
saver_name_pre: online_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -1.9611, rec_loss 0.0274, lpips_loss 0.2688, g_loss -0.1617, disc_weight 0.4000, disc_adaptive_weight 13.6120, d_loss 2.3744, logits_real 0.1243, logits_fake 0.1583,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.0511, rec_loss 0.0306, lpips_loss 0.2705, g_loss -0.1106, disc_weight 0.4000, disc_adaptive_weight 3.1714, d_loss 0.8237, logits_real 0.1114, logits_fake 0.1108,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.0113, rec_loss 0.0297, lpips_loss 0.2682, g_loss -0.1089, disc_weight 0.4000, disc_adaptive_weight 2.8345, d_loss 0.7854, logits_real 0.1095, logits_fake 0.1090,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.0124, rec_loss 0.0299, lpips_loss 0.2675, g_loss -0.1073, disc_weight 0.4000, disc_adaptive_weight 2.6516, d_loss 0.7560, logits_real 0.1083, logits_fake 0.1075,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.0184, rec_loss 0.0295, lpips_loss 0.2654, g_loss -0.1057, disc_weight 0.4000, disc_adaptive_weight 2.6186, d_loss 0.7289, logits_real 0.1066, logits_fake 0.1057,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.0127, rec_loss 0.0293, lpips_loss 0.2653, g_loss -0.1039, disc_weight 0.4000, disc_adaptive_weight 2.7153, d_loss 0.7076, logits_real 0.1052, logits_fake 0.1039,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.0011, rec_loss 0.0287, lpips_loss 0.2630, g_loss -0.1025, disc_weight 0.4000, disc_adaptive_weight 2.8621, d_loss 0.6882, logits_real 0.1039, logits_fake 0.1027,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.0074, rec_loss 0.0289, lpips_loss 0.2631, g_loss -0.1014, disc_weight 0.4000, disc_adaptive_weight 2.9606, d_loss 0.6723, logits_real 0.1029, logits_fake 0.1017,
Train Epoch: [1/5] Iters:[200/20018] gen_loss -0.0297, rec_loss 0.0288, lpips_loss 0.2624, g_loss -0.1003, disc_weight 0.4000, disc_adaptive_weight 3.2045, d_loss 0.6575, logits_real 0.1017, logits_fake 0.1006,
Train Epoch: [1/5] Iters:[210/20018] gen_loss -0.0281, rec_loss 0.0286, lpips_loss 0.2601, g_loss -0.0998, disc_weight 0.4000, disc_adaptive_weight 3.1772, d_loss 0.6446, logits_real 0.1006, logits_fake 0.0998,
Train Epoch: [1/5] Iters:[220/20018] gen_loss -0.0169, rec_loss 0.0285, lpips_loss 0.2601, g_loss -0.0990, disc_weight 0.4000, disc_adaptive_weight 3.0840, d_loss 0.6327, logits_real 0.0995, logits_fake 0.0991,
Train Epoch: [1/5] Iters:[230/20018] gen_loss -0.0120, rec_loss 0.0286, lpips_loss 0.2613, g_loss -0.0986, disc_weight 0.4000, disc_adaptive_weight 3.0620, d_loss 0.6218, logits_real 0.0989, logits_fake 0.0985,
Train Epoch: [1/5] Iters:[240/20018] gen_loss -0.0078, rec_loss 0.0293, lpips_loss 0.2621, g_loss -0.0981, disc_weight 0.4000, disc_adaptive_weight 3.0513, d_loss 0.6129, logits_real 0.0979, logits_fake 0.0978,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.0194, rec_loss 0.0287, lpips_loss 0.2607, g_loss -0.0974, disc_weight 0.4000, disc_adaptive_weight 2.7728, d_loss 0.6036, logits_real 0.0971, logits_fake 0.0970,
Train Epoch: [1/5] Iters:[260/20018] gen_loss -0.0021, rec_loss 0.0286, lpips_loss 0.2618, g_loss -0.0968, disc_weight 0.4000, disc_adaptive_weight 3.0287, d_loss 0.5963, logits_real 0.0967, logits_fake 0.0965,
Train Epoch: [1/5] Iters:[270/20018] gen_loss -0.0139, rec_loss 0.0286, lpips_loss 0.2603, g_loss -0.0964, disc_weight 0.4000, disc_adaptive_weight 3.1459, d_loss 0.5897, logits_real 0.0963, logits_fake 0.0960,
Train Epoch: [1/5] Iters:[280/20018] gen_loss -0.0016, rec_loss 0.0285, lpips_loss 0.2587, g_loss -0.0959, disc_weight 0.4000, disc_adaptive_weight 3.0146, d_loss 0.5837, logits_real 0.0955, logits_fake 0.0956,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.0057, rec_loss 0.0277, lpips_loss 0.2559, g_loss -0.0954, disc_weight 0.4000, disc_adaptive_weight 2.9121, d_loss 0.5769, logits_real 0.0950, logits_fake 0.0951,
Train Epoch: [1/5] Iters:[300/20018] gen_loss -0.0013, rec_loss 0.0284, lpips_loss 0.2560, g_loss -0.0951, disc_weight 0.4000, disc_adaptive_weight 3.0006, d_loss 0.5727, logits_real 0.0947, logits_fake 0.0949,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.0256, rec_loss 0.0283, lpips_loss 0.2566, g_loss -0.0945, disc_weight 0.4000, disc_adaptive_weight 2.7393, d_loss 0.5677, logits_real 0.0940, logits_fake 0.0944,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.0416, rec_loss 0.0291, lpips_loss 0.2585, g_loss -0.0941, disc_weight 0.4000, disc_adaptive_weight 2.6101, d_loss 0.5631, logits_real 0.0934, logits_fake 0.0940,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.0362, rec_loss 0.0296, lpips_loss 0.2601, g_loss -0.0936, disc_weight 0.4000, disc_adaptive_weight 2.7049, d_loss 0.5587, logits_real 0.0930, logits_fake 0.0936,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.0290, rec_loss 0.0295, lpips_loss 0.2599, g_loss -0.0929, disc_weight 0.4000, disc_adaptive_weight 2.8028, d_loss 0.5543, logits_real 0.0926, logits_fake 0.0932,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.0209, rec_loss 0.0290, lpips_loss 0.2604, g_loss -0.0922, disc_weight 0.4000, disc_adaptive_weight 2.9121, d_loss 0.5488, logits_real 0.0917, logits_fake 0.0923,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.0208, rec_loss 0.0292, lpips_loss 0.2599, g_loss -0.0917, disc_weight 0.4000, disc_adaptive_weight 2.9282, d_loss 0.5448, logits_real 0.0915, logits_fake 0.0919,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.0133, rec_loss 0.0283, lpips_loss 0.2576, g_loss -0.0913, disc_weight 0.4000, disc_adaptive_weight 2.9851, d_loss 0.5398, logits_real 0.0911, logits_fake 0.0915,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.0152, rec_loss 0.0288, lpips_loss 0.2566, g_loss -0.0909, disc_weight 0.4000, disc_adaptive_weight 2.9716, d_loss 0.5358, logits_real 0.0906, logits_fake 0.0912,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.0187, rec_loss 0.0291, lpips_loss 0.2582, g_loss -0.0908, disc_weight 0.4000, disc_adaptive_weight 2.9581, d_loss 0.5330, logits_real 0.0903, logits_fake 0.0909,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.0376, rec_loss 0.0292, lpips_loss 0.2557, g_loss -0.0909, disc_weight 0.4000, disc_adaptive_weight 2.7231, d_loss 0.5299, logits_real 0.0905, logits_fake 0.0910,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.0353, rec_loss 0.0290, lpips_loss 0.2548, g_loss -0.0906, disc_weight 0.4000, disc_adaptive_weight 2.7423, d_loss 0.5263, logits_real 0.0900, logits_fake 0.0907,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.0308, rec_loss 0.0288, lpips_loss 0.2550, g_loss -0.0901, disc_weight 0.4000, disc_adaptive_weight 2.8057, d_loss 0.5231, logits_real 0.0896, logits_fake 0.0902,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.0339, rec_loss 0.0280, lpips_loss 0.2546, g_loss -0.0900, disc_weight 0.4000, disc_adaptive_weight 2.7648, d_loss 0.5201, logits_real 0.0896, logits_fake 0.0898,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.0133, rec_loss 0.0282, lpips_loss 0.2548, g_loss -0.0895, disc_weight 0.4000, disc_adaptive_weight 3.0170, d_loss 0.5167, logits_real 0.0892, logits_fake 0.0894,
Train Epoch: [1/5] Iters:[450/20018] gen_loss -0.0161, rec_loss 0.0281, lpips_loss 0.2562, g_loss -0.0890, disc_weight 0.4000, disc_adaptive_weight 3.3762, d_loss 0.5136, logits_real 0.0885, logits_fake 0.0888,
Train Epoch: [1/5] Iters:[460/20018] gen_loss -0.0195, rec_loss 0.0284, lpips_loss 0.2558, g_loss -0.0889, disc_weight 0.4000, disc_adaptive_weight 3.4150, d_loss 0.5107, logits_real 0.0883, logits_fake 0.0886,
Train Epoch: [1/5] Iters:[470/20018] gen_loss -0.0198, rec_loss 0.0286, lpips_loss 0.2579, g_loss -0.0887, disc_weight 0.4000, disc_adaptive_weight 3.4540, d_loss 0.5079, logits_real 0.0881, logits_fake 0.0882,
Train Epoch: [1/5] Iters:[480/20018] gen_loss -0.0186, rec_loss 0.0286, lpips_loss 0.2578, g_loss -0.0884, disc_weight 0.4000, disc_adaptive_weight 3.4497, d_loss 0.5047, logits_real 0.0878, logits_fake 0.0879,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.0066, rec_loss 0.0281, lpips_loss 0.2566, g_loss -0.0882, disc_weight 0.4000, disc_adaptive_weight 3.1570, d_loss 0.5014, logits_real 0.0876, logits_fake 0.0876,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.0317, rec_loss 0.0283, lpips_loss 0.2563, g_loss -0.0876, disc_weight 0.4000, disc_adaptive_weight 2.8897, d_loss 0.4985, logits_real 0.0875, logits_fake 0.0873,
Train Epoch: [1/5] Iters:[510/20018] gen_loss -0.0071, rec_loss 0.0284, lpips_loss 0.2568, g_loss -0.0871, disc_weight 0.4000, disc_adaptive_weight 3.3615, d_loss 0.4961, logits_real 0.0873, logits_fake 0.0869,
Train Epoch: [1/5] Iters:[520/20018] gen_loss -0.0404, rec_loss 0.0286, lpips_loss 0.2545, g_loss -0.0870, disc_weight 0.4000, disc_adaptive_weight 3.7189, d_loss 0.4937, logits_real 0.0872, logits_fake 0.0871,
Train Epoch: [1/5] Iters:[530/20018] gen_loss -0.0609, rec_loss 0.0289, lpips_loss 0.2549, g_loss -0.0868, disc_weight 0.4000, disc_adaptive_weight 3.9716, d_loss 0.4914, logits_real 0.0869, logits_fake 0.0869,
Train Epoch: [1/5] Iters:[540/20018] gen_loss -0.0478, rec_loss 0.0294, lpips_loss 0.2553, g_loss -0.0868, disc_weight 0.4000, disc_adaptive_weight 3.8278, d_loss 0.4899, logits_real 0.0867, logits_fake 0.0870,
Train Epoch: [1/5] Iters:[550/20018] gen_loss -0.0474, rec_loss 0.0296, lpips_loss 0.2560, g_loss -0.0866, disc_weight 0.4000, disc_adaptive_weight 3.8384, d_loss 0.4881, logits_real 0.0864, logits_fake 0.0868,
Train Epoch: [1/5] Iters:[560/20018] gen_loss -0.0000, rec_loss 0.0292, lpips_loss 0.2566, g_loss -0.0864, disc_weight 0.4000, disc_adaptive_weight 3.3068, d_loss 0.4857, logits_real 0.0860, logits_fake 0.0866,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.0202, rec_loss 0.0292, lpips_loss 0.2574, g_loss -0.0860, disc_weight 0.4000, disc_adaptive_weight 3.1006, d_loss 0.4828, logits_real 0.0855, logits_fake 0.0860,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.0293, rec_loss 0.0288, lpips_loss 0.2568, g_loss -0.0855, disc_weight 0.4000, disc_adaptive_weight 3.0016, d_loss 0.4811, logits_real 0.0849, logits_fake 0.0854,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.0310, rec_loss 0.0287, lpips_loss 0.2570, g_loss -0.0848, disc_weight 0.4000, disc_adaptive_weight 3.0024, d_loss 0.4787, logits_real 0.0843, logits_fake 0.0848,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.0304, rec_loss 0.0283, lpips_loss 0.2568, g_loss -0.0844, disc_weight 0.4000, disc_adaptive_weight 3.0146, d_loss 0.4761, logits_real 0.0839, logits_fake 0.0843,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.0392, rec_loss 0.0285, lpips_loss 0.2558, g_loss -0.0841, disc_weight 0.4000, disc_adaptive_weight 2.9111, d_loss 0.4747, logits_real 0.0836, logits_fake 0.0839,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.0545, rec_loss 0.0287, lpips_loss 0.2553, g_loss -0.0838, disc_weight 0.4000, disc_adaptive_weight 2.7407, d_loss 0.4731, logits_real 0.0834, logits_fake 0.0837,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.0642, rec_loss 0.0286, lpips_loss 0.2545, g_loss -0.0837, disc_weight 0.4000, disc_adaptive_weight 2.6187, d_loss 0.4705, logits_real 0.0835, logits_fake 0.0836,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.0625, rec_loss 0.0284, lpips_loss 0.2540, g_loss -0.0833, disc_weight 0.4000, disc_adaptive_weight 2.6421, d_loss 0.4686, logits_real 0.0833, logits_fake 0.0832,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.0626, rec_loss 0.0286, lpips_loss 0.2535, g_loss -0.0831, disc_weight 0.4000, disc_adaptive_weight 2.6449, d_loss 0.4671, logits_real 0.0828, logits_fake 0.0829,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.0287, rec_loss 0.0284, lpips_loss 0.2533, g_loss -0.0826, disc_weight 0.4000, disc_adaptive_weight 3.0738, d_loss 0.4649, logits_real 0.0824, logits_fake 0.0826,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.0318, rec_loss 0.0281, lpips_loss 0.2542, g_loss -0.0819, disc_weight 0.4000, disc_adaptive_weight 3.0694, d_loss 0.4638, logits_real 0.0819, logits_fake 0.0819,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.0288, rec_loss 0.0282, lpips_loss 0.2544, g_loss -0.0811, disc_weight 0.4000, disc_adaptive_weight 3.1348, d_loss 0.4628, logits_real 0.0813, logits_fake 0.0812,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.0278, rec_loss 0.0282, lpips_loss 0.2546, g_loss -0.0805, disc_weight 0.4000, disc_adaptive_weight 3.1660, d_loss 0.4615, logits_real 0.0809, logits_fake 0.0807,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.0240, rec_loss 0.0282, lpips_loss 0.2541, g_loss -0.0799, disc_weight 0.4000, disc_adaptive_weight 3.2302, d_loss 0.4602, logits_real 0.0805, logits_fake 0.0801,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.0498, rec_loss 0.0283, lpips_loss 0.2538, g_loss -0.0796, disc_weight 0.4000, disc_adaptive_weight 2.9210, d_loss 0.4592, logits_real 0.0800, logits_fake 0.0796,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.0516, rec_loss 0.0283, lpips_loss 0.2526, g_loss -0.0792, disc_weight 0.4000, disc_adaptive_weight 2.8948, d_loss 0.4576, logits_real 0.0795, logits_fake 0.0793,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.0568, rec_loss 0.0286, lpips_loss 0.2535, g_loss -0.0790, disc_weight 0.4000, disc_adaptive_weight 2.8572, d_loss 0.4562, logits_real 0.0791, logits_fake 0.0790,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.0539, rec_loss 0.0290, lpips_loss 0.2540, g_loss -0.0786, disc_weight 0.4000, disc_adaptive_weight 2.9208, d_loss 0.4547, logits_real 0.0786, logits_fake 0.0785,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.0573, rec_loss 0.0287, lpips_loss 0.2533, g_loss -0.0784, disc_weight 0.4000, disc_adaptive_weight 2.8737, d_loss 0.4527, logits_real 0.0784, logits_fake 0.0782,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.0622, rec_loss 0.0285, lpips_loss 0.2542, g_loss -0.0782, disc_weight 0.4000, disc_adaptive_weight 2.8236, d_loss 0.4511, logits_real 0.0783, logits_fake 0.0781,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.0647, rec_loss 0.0284, lpips_loss 0.2538, g_loss -0.0780, disc_weight 0.4000, disc_adaptive_weight 2.7903, d_loss 0.4499, logits_real 0.0780, logits_fake 0.0780,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.0676, rec_loss 0.0282, lpips_loss 0.2537, g_loss -0.0777, disc_weight 0.4000, disc_adaptive_weight 2.7589, d_loss 0.4486, logits_real 0.0779, logits_fake 0.0778,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.0603, rec_loss 0.0282, lpips_loss 0.2535, g_loss -0.0775, disc_weight 0.4000, disc_adaptive_weight 2.8558, d_loss 0.4477, logits_real 0.0778, logits_fake 0.0775,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.0652, rec_loss 0.0285, lpips_loss 0.2547, g_loss -0.0772, disc_weight 0.4000, disc_adaptive_weight 2.8237, d_loss 0.4471, logits_real 0.0774, logits_fake 0.0772,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.0618, rec_loss 0.0287, lpips_loss 0.2547, g_loss -0.0768, disc_weight 0.4000, disc_adaptive_weight 2.8887, d_loss 0.4456, logits_real 0.0772, logits_fake 0.0766,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.0625, rec_loss 0.0288, lpips_loss 0.2546, g_loss -0.0763, disc_weight 0.4000, disc_adaptive_weight 2.9025, d_loss 0.4445, logits_real 0.0769, logits_fake 0.0760,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.0687, rec_loss 0.0287, lpips_loss 0.2538, g_loss -0.0759, disc_weight 0.4000, disc_adaptive_weight 2.8204, d_loss 0.4428, logits_real 0.0766, logits_fake 0.0755,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.0670, rec_loss 0.0287, lpips_loss 0.2536, g_loss -0.0758, disc_weight 0.4000, disc_adaptive_weight 2.8486, d_loss 0.4416, logits_real 0.0764, logits_fake 0.0753,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.0636, rec_loss 0.0284, lpips_loss 0.2525, g_loss -0.0757, disc_weight 0.4000, disc_adaptive_weight 2.8783, d_loss 0.4404, logits_real 0.0762, logits_fake 0.0753,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.0609, rec_loss 0.0286, lpips_loss 0.2525, g_loss -0.0754, disc_weight 0.4000, disc_adaptive_weight 2.9224, d_loss 0.4403, logits_real 0.0763, logits_fake 0.0755,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.0669, rec_loss 0.0288, lpips_loss 0.2536, g_loss -0.0755, disc_weight 0.4000, disc_adaptive_weight 2.8567, d_loss 0.4393, logits_real 0.0762, logits_fake 0.0756,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.0483, rec_loss 0.0289, lpips_loss 0.2542, g_loss -0.0752, disc_weight 0.4000, disc_adaptive_weight 3.1234, d_loss 0.4390, logits_real 0.0761, logits_fake 0.0753,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.0449, rec_loss 0.0284, lpips_loss 0.2534, g_loss -0.0747, disc_weight 0.4000, disc_adaptive_weight 3.1669, d_loss 0.4379, logits_real 0.0759, logits_fake 0.0748,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.0428, rec_loss 0.0290, lpips_loss 0.2554, g_loss -0.0745, disc_weight 0.4000, disc_adaptive_weight 3.2402, d_loss 0.4374, logits_real 0.0759, logits_fake 0.0748,
