dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 0.2
gamma: 1.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: wasserstein_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-wasserstein_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_0.2_1.0_0.4
training_pre: wasserstein_vq_refinement_False
saver_name_pre: wasserstein_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_0.2_1.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.7751, rec_loss 0.0235, lpips_loss 0.2106, g_loss 0.2084, disc_weight 0.4000, disc_adaptive_weight 2.5924, d_loss 2.5974, logits_real -0.2038, logits_fake -0.2154,
Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.5483, rec_loss 0.0508, lpips_loss 0.2303, g_loss 0.1760, disc_weight 0.4000, disc_adaptive_weight 1.5037, d_loss 0.9300, logits_real -0.1848, logits_fake -0.1762,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.5155, rec_loss 0.0519, lpips_loss 0.2302, g_loss 0.1703, disc_weight 0.4000, disc_adaptive_weight 1.3602, d_loss 0.8942, logits_real -0.1819, logits_fake -0.1712,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.5107, rec_loss 0.0559, lpips_loss 0.2314, g_loss 0.1646, disc_weight 0.4000, disc_adaptive_weight 1.3495, d_loss 0.8668, logits_real -0.1775, logits_fake -0.1649,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.5088, rec_loss 0.0587, lpips_loss 0.2313, g_loss 0.1590, disc_weight 0.4000, disc_adaptive_weight 1.3714, d_loss 0.8382, logits_real -0.1728, logits_fake -0.1592,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.5090, rec_loss 0.0593, lpips_loss 0.2327, g_loss 0.1545, disc_weight 0.4000, disc_adaptive_weight 1.4036, d_loss 0.8152, logits_real -0.1677, logits_fake -0.1534,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.5173, rec_loss 0.0616, lpips_loss 0.2319, g_loss 0.1478, disc_weight 0.4000, disc_adaptive_weight 1.5198, d_loss 0.7914, logits_real -0.1616, logits_fake -0.1471,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.5237, rec_loss 0.0626, lpips_loss 0.2319, g_loss 0.1421, disc_weight 0.4000, disc_adaptive_weight 1.6152, d_loss 0.7699, logits_real -0.1550, logits_fake -0.1412,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.5367, rec_loss 0.0597, lpips_loss 0.2310, g_loss 0.1371, disc_weight 0.4000, disc_adaptive_weight 1.8016, d_loss 0.7487, logits_real -0.1486, logits_fake -0.1365,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.5409, rec_loss 0.0552, lpips_loss 0.2282, g_loss 0.1329, disc_weight 0.4000, disc_adaptive_weight 1.9459, d_loss 0.7271, logits_real -0.1420, logits_fake -0.1324,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.5483, rec_loss 0.0522, lpips_loss 0.2263, g_loss 0.1286, disc_weight 0.4000, disc_adaptive_weight 2.1017, d_loss 0.7070, logits_real -0.1358, logits_fake -0.1282,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.5404, rec_loss 0.0451, lpips_loss 0.2250, g_loss 0.1262, disc_weight 0.4000, disc_adaptive_weight 2.1448, d_loss 0.6839, logits_real -0.1305, logits_fake -0.1258,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.5459, rec_loss 0.0411, lpips_loss 0.2244, g_loss 0.1240, disc_weight 0.4000, disc_adaptive_weight 2.2612, d_loss 0.6684, logits_real -0.1259, logits_fake -0.1233,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.5314, rec_loss 0.0367, lpips_loss 0.2216, g_loss 0.1217, disc_weight 0.4000, disc_adaptive_weight 2.2472, d_loss 0.6525, logits_real -0.1225, logits_fake -0.1206,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.5273, rec_loss 0.0332, lpips_loss 0.2210, g_loss 0.1193, disc_weight 0.4000, disc_adaptive_weight 2.2944, d_loss 0.6383, logits_real -0.1193, logits_fake -0.1181,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.5139, rec_loss 0.0303, lpips_loss 0.2184, g_loss 0.1174, disc_weight 0.4000, disc_adaptive_weight 2.2651, d_loss 0.6263, logits_real -0.1170, logits_fake -0.1166,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.5108, rec_loss 0.0288, lpips_loss 0.2161, g_loss 0.1152, disc_weight 0.4000, disc_adaptive_weight 2.3135, d_loss 0.6179, logits_real -0.1151, logits_fake -0.1149,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.5073, rec_loss 0.0266, lpips_loss 0.2125, g_loss 0.1135, disc_weight 0.4000, disc_adaptive_weight 2.3652, d_loss 0.6069, logits_real -0.1137, logits_fake -0.1133,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.5050, rec_loss 0.0270, lpips_loss 0.2117, g_loss 0.1121, disc_weight 0.4000, disc_adaptive_weight 2.3760, d_loss 0.6014, logits_real -0.1122, logits_fake -0.1121,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.4968, rec_loss 0.0264, lpips_loss 0.2116, g_loss 0.1112, disc_weight 0.4000, disc_adaptive_weight 2.3261, d_loss 0.5946, logits_real -0.1112, logits_fake -0.1111,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.5046, rec_loss 0.0271, lpips_loss 0.2129, g_loss 0.1100, disc_weight 0.4000, disc_adaptive_weight 2.4050, d_loss 0.5891, logits_real -0.1104, logits_fake -0.1098,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.5095, rec_loss 0.0274, lpips_loss 0.2136, g_loss 0.1089, disc_weight 0.4000, disc_adaptive_weight 2.4669, d_loss 0.5834, logits_real -0.1093, logits_fake -0.1085,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.5017, rec_loss 0.0272, lpips_loss 0.2129, g_loss 0.1075, disc_weight 0.4000, disc_adaptive_weight 2.4341, d_loss 0.5786, logits_real -0.1083, logits_fake -0.1071,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.5079, rec_loss 0.0267, lpips_loss 0.2135, g_loss 0.1060, disc_weight 0.4000, disc_adaptive_weight 2.5292, d_loss 0.5721, logits_real -0.1068, logits_fake -0.1055,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.5125, rec_loss 0.0273, lpips_loss 0.2125, g_loss 0.1040, disc_weight 0.4000, disc_adaptive_weight 2.6221, d_loss 0.5673, logits_real -0.1050, logits_fake -0.1035,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.5149, rec_loss 0.0266, lpips_loss 0.2104, g_loss 0.1024, disc_weight 0.4000, disc_adaptive_weight 2.7157, d_loss 0.5617, logits_real -0.1032, logits_fake -0.1021,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.5088, rec_loss 0.0272, lpips_loss 0.2097, g_loss 0.1010, disc_weight 0.4000, disc_adaptive_weight 2.6926, d_loss 0.5567, logits_real -0.1018, logits_fake -0.1007,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.5120, rec_loss 0.0273, lpips_loss 0.2112, g_loss 0.0996, disc_weight 0.4000, disc_adaptive_weight 2.7446, d_loss 0.5526, logits_real -0.1001, logits_fake -0.0996,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.5067, rec_loss 0.0271, lpips_loss 0.2088, g_loss 0.0981, disc_weight 0.4000, disc_adaptive_weight 2.7598, d_loss 0.5486, logits_real -0.0989, logits_fake -0.0983,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.5087, rec_loss 0.0266, lpips_loss 0.2083, g_loss 0.0968, disc_weight 0.4000, disc_adaptive_weight 2.8253, d_loss 0.5446, logits_real -0.0980, logits_fake -0.0972,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.5024, rec_loss 0.0263, lpips_loss 0.2082, g_loss 0.0953, disc_weight 0.4000, disc_adaptive_weight 2.8106, d_loss 0.5411, logits_real -0.0965, logits_fake -0.0956,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.4990, rec_loss 0.0253, lpips_loss 0.2078, g_loss 0.0940, disc_weight 0.4000, disc_adaptive_weight 2.8261, d_loss 0.5374, logits_real -0.0950, logits_fake -0.0944,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.4933, rec_loss 0.0256, lpips_loss 0.2080, g_loss 0.0926, disc_weight 0.4000, disc_adaptive_weight 2.7957, d_loss 0.5335, logits_real -0.0937, logits_fake -0.0927,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.4831, rec_loss 0.0254, lpips_loss 0.2092, g_loss 0.0913, disc_weight 0.4000, disc_adaptive_weight 2.7151, d_loss 0.5296, logits_real -0.0922, logits_fake -0.0913,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.4709, rec_loss 0.0256, lpips_loss 0.2086, g_loss 0.0899, disc_weight 0.4000, disc_adaptive_weight 2.6315, d_loss 0.5260, logits_real -0.0906, logits_fake -0.0899,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.4549, rec_loss 0.0257, lpips_loss 0.2102, g_loss 0.0886, disc_weight 0.4000, disc_adaptive_weight 2.4675, d_loss 0.5224, logits_real -0.0894, logits_fake -0.0890,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.4477, rec_loss 0.0258, lpips_loss 0.2107, g_loss 0.0874, disc_weight 0.4000, disc_adaptive_weight 2.4170, d_loss 0.5193, logits_real -0.0881, logits_fake -0.0874,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.4459, rec_loss 0.0251, lpips_loss 0.2094, g_loss 0.0861, disc_weight 0.4000, disc_adaptive_weight 2.4569, d_loss 0.5157, logits_real -0.0870, logits_fake -0.0862,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.4354, rec_loss 0.0254, lpips_loss 0.2089, g_loss 0.0850, disc_weight 0.4000, disc_adaptive_weight 2.3673, d_loss 0.5126, logits_real -0.0857, logits_fake -0.0850,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.4332, rec_loss 0.0253, lpips_loss 0.2091, g_loss 0.0838, disc_weight 0.4000, disc_adaptive_weight 2.3764, d_loss 0.5101, logits_real -0.0843, logits_fake -0.0838,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.4369, rec_loss 0.0254, lpips_loss 0.2074, g_loss 0.0827, disc_weight 0.4000, disc_adaptive_weight 2.4712, d_loss 0.5069, logits_real -0.0830, logits_fake -0.0825,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.4404, rec_loss 0.0255, lpips_loss 0.2070, g_loss 0.0816, disc_weight 0.4000, disc_adaptive_weight 2.5542, d_loss 0.5038, logits_real -0.0818, logits_fake -0.0816,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.4430, rec_loss 0.0260, lpips_loss 0.2077, g_loss 0.0807, disc_weight 0.4000, disc_adaptive_weight 2.6025, d_loss 0.5017, logits_real -0.0807, logits_fake -0.0808,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.4433, rec_loss 0.0260, lpips_loss 0.2084, g_loss 0.0796, disc_weight 0.4000, disc_adaptive_weight 2.6255, d_loss 0.4990, logits_real -0.0797, logits_fake -0.0795,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.4381, rec_loss 0.0259, lpips_loss 0.2095, g_loss 0.0785, disc_weight 0.4000, disc_adaptive_weight 2.5808, d_loss 0.4965, logits_real -0.0787, logits_fake -0.0785,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.4399, rec_loss 0.0258, lpips_loss 0.2100, g_loss 0.0773, disc_weight 0.4000, disc_adaptive_weight 2.6422, d_loss 0.4943, logits_real -0.0776, logits_fake -0.0772,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.4405, rec_loss 0.0254, lpips_loss 0.2093, g_loss 0.0759, disc_weight 0.4000, disc_adaptive_weight 2.7172, d_loss 0.4922, logits_real -0.0766, logits_fake -0.0761,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.4351, rec_loss 0.0253, lpips_loss 0.2097, g_loss 0.0747, disc_weight 0.4000, disc_adaptive_weight 2.6858, d_loss 0.4895, logits_real -0.0754, logits_fake -0.0749,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.4397, rec_loss 0.0249, lpips_loss 0.2093, g_loss 0.0738, disc_weight 0.4000, disc_adaptive_weight 2.7861, d_loss 0.4874, logits_real -0.0743, logits_fake -0.0742,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.4440, rec_loss 0.0250, lpips_loss 0.2084, g_loss 0.0730, disc_weight 0.4000, disc_adaptive_weight 2.8866, d_loss 0.4853, logits_real -0.0736, logits_fake -0.0733,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.4443, rec_loss 0.0249, lpips_loss 0.2077, g_loss 0.0725, disc_weight 0.4000, disc_adaptive_weight 2.9192, d_loss 0.4830, logits_real -0.0729, logits_fake -0.0727,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.4353, rec_loss 0.0247, lpips_loss 0.2071, g_loss 0.0723, disc_weight 0.4000, disc_adaptive_weight 2.8131, d_loss 0.4809, logits_real -0.0723, logits_fake -0.0721,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.4403, rec_loss 0.0245, lpips_loss 0.2065, g_loss 0.0716, disc_weight 0.4000, disc_adaptive_weight 2.9252, d_loss 0.4786, logits_real -0.0716, logits_fake -0.0714,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.4406, rec_loss 0.0247, lpips_loss 0.2062, g_loss 0.0708, disc_weight 0.4000, disc_adaptive_weight 2.9599, d_loss 0.4769, logits_real -0.0709, logits_fake -0.0707,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.4320, rec_loss 0.0245, lpips_loss 0.2058, g_loss 0.0701, disc_weight 0.4000, disc_adaptive_weight 2.8735, d_loss 0.4750, logits_real -0.0700, logits_fake -0.0701,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.4216, rec_loss 0.0243, lpips_loss 0.2064, g_loss 0.0693, disc_weight 0.4000, disc_adaptive_weight 2.7508, d_loss 0.4741, logits_real -0.0692, logits_fake -0.0694,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.4183, rec_loss 0.0245, lpips_loss 0.2069, g_loss 0.0684, disc_weight 0.4000, disc_adaptive_weight 2.7273, d_loss 0.4722, logits_real -0.0685, logits_fake -0.0687,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.4119, rec_loss 0.0243, lpips_loss 0.2071, g_loss 0.0680, disc_weight 0.4000, disc_adaptive_weight 2.6491, d_loss 0.4708, logits_real -0.0679, logits_fake -0.0682,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.4139, rec_loss 0.0244, lpips_loss 0.2067, g_loss 0.0674, disc_weight 0.4000, disc_adaptive_weight 2.7142, d_loss 0.4690, logits_real -0.0673, logits_fake -0.0675,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.4128, rec_loss 0.0245, lpips_loss 0.2066, g_loss 0.0667, disc_weight 0.4000, disc_adaptive_weight 2.7192, d_loss 0.4670, logits_real -0.0668, logits_fake -0.0667,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.4080, rec_loss 0.0246, lpips_loss 0.2058, g_loss 0.0661, disc_weight 0.4000, disc_adaptive_weight 2.6817, d_loss 0.4642, logits_real -0.0663, logits_fake -0.0662,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.4070, rec_loss 0.0249, lpips_loss 0.2066, g_loss 0.0654, disc_weight 0.4000, disc_adaptive_weight 2.6770, d_loss 0.4624, logits_real -0.0655, logits_fake -0.0654,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.4027, rec_loss 0.0252, lpips_loss 0.2070, g_loss 0.0647, disc_weight 0.4000, disc_adaptive_weight 2.6333, d_loss 0.4606, logits_real -0.0649, logits_fake -0.0646,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.3984, rec_loss 0.0249, lpips_loss 0.2064, g_loss 0.0641, disc_weight 0.4000, disc_adaptive_weight 2.6040, d_loss 0.4588, logits_real -0.0643, logits_fake -0.0641,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.3926, rec_loss 0.0246, lpips_loss 0.2068, g_loss 0.0636, disc_weight 0.4000, disc_adaptive_weight 2.5358, d_loss 0.4571, logits_real -0.0636, logits_fake -0.0636,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.3929, rec_loss 0.0244, lpips_loss 0.2065, g_loss 0.0631, disc_weight 0.4000, disc_adaptive_weight 2.5674, d_loss 0.4557, logits_real -0.0631, logits_fake -0.0631,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.3921, rec_loss 0.0242, lpips_loss 0.2058, g_loss 0.0627, disc_weight 0.4000, disc_adaptive_weight 2.5847, d_loss 0.4546, logits_real -0.0626, logits_fake -0.0627,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.3901, rec_loss 0.0240, lpips_loss 0.2055, g_loss 0.0622, disc_weight 0.4000, disc_adaptive_weight 2.5838, d_loss 0.4535, logits_real -0.0621, logits_fake -0.0621,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.3911, rec_loss 0.0242, lpips_loss 0.2064, g_loss 0.0617, disc_weight 0.4000, disc_adaptive_weight 2.6018, d_loss 0.4525, logits_real -0.0616, logits_fake -0.0617,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.3961, rec_loss 0.0244, lpips_loss 0.2067, g_loss 0.0614, disc_weight 0.4000, disc_adaptive_weight 2.6840, d_loss 0.4515, logits_real -0.0612, logits_fake -0.0614,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.3949, rec_loss 0.0245, lpips_loss 0.2065, g_loss 0.0611, disc_weight 0.4000, disc_adaptive_weight 2.6788, d_loss 0.4507, logits_real -0.0609, logits_fake -0.0611,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.3903, rec_loss 0.0245, lpips_loss 0.2061, g_loss 0.0606, disc_weight 0.4000, disc_adaptive_weight 2.6326, d_loss 0.4491, logits_real -0.0605, logits_fake -0.0607,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.3890, rec_loss 0.0245, lpips_loss 0.2057, g_loss 0.0605, disc_weight 0.4000, disc_adaptive_weight 2.6255, d_loss 0.4480, logits_real -0.0603, logits_fake -0.0606,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.3894, rec_loss 0.0242, lpips_loss 0.2048, g_loss 0.0601, disc_weight 0.4000, disc_adaptive_weight 2.6663, d_loss 0.4468, logits_real -0.0600, logits_fake -0.0603,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.3904, rec_loss 0.0245, lpips_loss 0.2048, g_loss 0.0597, disc_weight 0.4000, disc_adaptive_weight 2.6967, d_loss 0.4459, logits_real -0.0596, logits_fake -0.0600,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.3998, rec_loss 0.0246, lpips_loss 0.2059, g_loss 0.0592, disc_weight 0.4000, disc_adaptive_weight 2.8569, d_loss 0.4447, logits_real -0.0591, logits_fake -0.0594,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.4066, rec_loss 0.0247, lpips_loss 0.2066, g_loss 0.0589, disc_weight 0.4000, disc_adaptive_weight 2.9749, d_loss 0.4437, logits_real -0.0588, logits_fake -0.0590,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.4021, rec_loss 0.0242, lpips_loss 0.2055, g_loss 0.0585, disc_weight 0.4000, disc_adaptive_weight 2.9415, d_loss 0.4425, logits_real -0.0584, logits_fake -0.0588,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.3971, rec_loss 0.0247, lpips_loss 0.2070, g_loss 0.0583, disc_weight 0.4000, disc_adaptive_weight 2.8364, d_loss 0.4416, logits_real -0.0581, logits_fake -0.0586,
