dataset_dir: /projects/yuanai/data/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 16384
codebook_dim: 8
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.4
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: ema_vq
use_multiscale: False
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 1e-05
stage: refinement
path: bc
checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/Refinement/ImageNet
results_dir: /projects/yuanai/projects/VQ-Transplant2/results/Refinement/ImageNet
saver_dir: /projects/yuanai/projects/VQ-Transplant2/saver/Refinement/ImageNet
reconstruction_dir: /projects/yuanai/projects/VQ-Transplant2/reconstruction/Refinement/ImageNet
yaml_dir: /projects/yuanai/projects/VQ-Transplant2/yaml/Refinement/ImageNet
pretrained_tokenizer: /projects/yuanai/projects/VQ-Transplant2/pretrained_tokenizer/model.ckpt
checkpoint_name: checkpoint-ema_vq_transplant_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /projects/yuanai/projects/VQ-Transplant2/checkpoint/
data_pre: ImageNet
model_pre: model_16384_8_1
loss_pre: loss_1.0_1.0_0.0_0.4
training_pre: ema_vq_refinement_False
saver_name_pre: ema_vq_refinement_False_ImageNet_model_16384_8_1_loss_1.0_1.0_0.0_0.4
| distributed init (rank 0): env://
| distributed init (rank 1): env://
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
Working with z of shape (1, 16, 16, 16) = 4096 dimensions.
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
making attention of type 'vanilla' with 512 in_channels
VQ Model Parameters: 69609635
loaded pretrained LPIPS loss from /projects/yuanai/projects/VQ-Transplant2/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss -0.3434, rec_loss 0.0227, lpips_loss 0.2098, g_loss -0.1963, disc_weight 0.4000, disc_adaptive_weight 2.9271, d_loss 2.4128, logits_real 0.1960, logits_fake 0.1949,
Train Epoch: [1/5] Iters:[130/20018] gen_loss -0.1825, rec_loss 0.0253, lpips_loss 0.2133, g_loss -0.1740, disc_weight 0.4000, disc_adaptive_weight 2.4201, d_loss 0.8156, logits_real 0.1735, logits_fake 0.1739,
Train Epoch: [1/5] Iters:[140/20018] gen_loss -0.2115, rec_loss 0.0247, lpips_loss 0.2122, g_loss -0.1727, disc_weight 0.4000, disc_adaptive_weight 2.5940, d_loss 0.7798, logits_real 0.1722, logits_fake 0.1726,
Train Epoch: [1/5] Iters:[150/20018] gen_loss -0.1944, rec_loss 0.0250, lpips_loss 0.2123, g_loss -0.1715, disc_weight 0.4000, disc_adaptive_weight 2.5118, d_loss 0.7521, logits_real 0.1709, logits_fake 0.1714,
Train Epoch: [1/5] Iters:[160/20018] gen_loss -0.1705, rec_loss 0.0247, lpips_loss 0.2112, g_loss -0.1701, disc_weight 0.4000, disc_adaptive_weight 2.3865, d_loss 0.7259, logits_real 0.1694, logits_fake 0.1700,
Train Epoch: [1/5] Iters:[170/20018] gen_loss -0.1293, rec_loss 0.0247, lpips_loss 0.2117, g_loss -0.1687, disc_weight 0.4000, disc_adaptive_weight 2.1663, d_loss 0.7048, logits_real 0.1682, logits_fake 0.1687,
Train Epoch: [1/5] Iters:[180/20018] gen_loss -0.1415, rec_loss 0.0243, lpips_loss 0.2098, g_loss -0.1674, disc_weight 0.4000, disc_adaptive_weight 2.2417, d_loss 0.6874, logits_real 0.1671, logits_fake 0.1674,
Train Epoch: [1/5] Iters:[190/20018] gen_loss -0.1424, rec_loss 0.0244, lpips_loss 0.2098, g_loss -0.1663, disc_weight 0.4000, disc_adaptive_weight 2.2657, d_loss 0.6729, logits_real 0.1659, logits_fake 0.1663,
Train Epoch: [1/5] Iters:[200/20018] gen_loss -0.1421, rec_loss 0.0242, lpips_loss 0.2095, g_loss -0.1650, disc_weight 0.4000, disc_adaptive_weight 2.2766, d_loss 0.6583, logits_real 0.1646, logits_fake 0.1649,
Train Epoch: [1/5] Iters:[210/20018] gen_loss -0.1465, rec_loss 0.0241, lpips_loss 0.2079, g_loss -0.1641, disc_weight 0.4000, disc_adaptive_weight 2.3040, d_loss 0.6464, logits_real 0.1635, logits_fake 0.1638,
Train Epoch: [1/5] Iters:[220/20018] gen_loss -0.1615, rec_loss 0.0239, lpips_loss 0.2075, g_loss -0.1630, disc_weight 0.4000, disc_adaptive_weight 2.4080, d_loss 0.6354, logits_real 0.1626, logits_fake 0.1630,
Train Epoch: [1/5] Iters:[230/20018] gen_loss -0.1481, rec_loss 0.0239, lpips_loss 0.2084, g_loss -0.1618, disc_weight 0.4000, disc_adaptive_weight 2.3499, d_loss 0.6241, logits_real 0.1614, logits_fake 0.1619,
Train Epoch: [1/5] Iters:[240/20018] gen_loss -0.1293, rec_loss 0.0247, lpips_loss 0.2095, g_loss -0.1607, disc_weight 0.4000, disc_adaptive_weight 2.2620, d_loss 0.6160, logits_real 0.1604, logits_fake 0.1609,
Train Epoch: [1/5] Iters:[250/20018] gen_loss -0.1285, rec_loss 0.0243, lpips_loss 0.2083, g_loss -0.1599, disc_weight 0.4000, disc_adaptive_weight 2.2588, d_loss 0.6073, logits_real 0.1599, logits_fake 0.1600,
Train Epoch: [1/5] Iters:[260/20018] gen_loss -0.1499, rec_loss 0.0244, lpips_loss 0.2098, g_loss -0.1590, disc_weight 0.4000, disc_adaptive_weight 2.4181, d_loss 0.5994, logits_real 0.1593, logits_fake 0.1594,
Train Epoch: [1/5] Iters:[270/20018] gen_loss -0.1394, rec_loss 0.0244, lpips_loss 0.2090, g_loss -0.1584, disc_weight 0.4000, disc_adaptive_weight 2.3546, d_loss 0.5926, logits_real 0.1584, logits_fake 0.1584,
Train Epoch: [1/5] Iters:[280/20018] gen_loss -0.1359, rec_loss 0.0243, lpips_loss 0.2081, g_loss -0.1576, disc_weight 0.4000, disc_adaptive_weight 2.3351, d_loss 0.5870, logits_real 0.1576, logits_fake 0.1573,
Train Epoch: [1/5] Iters:[290/20018] gen_loss -0.1561, rec_loss 0.0236, lpips_loss 0.2057, g_loss -0.1569, disc_weight 0.4000, disc_adaptive_weight 2.4557, d_loss 0.5796, logits_real 0.1568, logits_fake 0.1566,
Train Epoch: [1/5] Iters:[300/20018] gen_loss -0.1758, rec_loss 0.0241, lpips_loss 0.2058, g_loss -0.1563, disc_weight 0.4000, disc_adaptive_weight 2.5934, d_loss 0.5749, logits_real 0.1561, logits_fake 0.1561,
Train Epoch: [1/5] Iters:[310/20018] gen_loss -0.1440, rec_loss 0.0240, lpips_loss 0.2060, g_loss -0.1557, disc_weight 0.4000, disc_adaptive_weight 2.4007, d_loss 0.5696, logits_real 0.1553, logits_fake 0.1552,
Train Epoch: [1/5] Iters:[320/20018] gen_loss -0.1377, rec_loss 0.0247, lpips_loss 0.2075, g_loss -0.1548, disc_weight 0.4000, disc_adaptive_weight 2.3869, d_loss 0.5654, logits_real 0.1542, logits_fake 0.1546,
Train Epoch: [1/5] Iters:[330/20018] gen_loss -0.1479, rec_loss 0.0251, lpips_loss 0.2089, g_loss -0.1544, disc_weight 0.4000, disc_adaptive_weight 2.4725, d_loss 0.5610, logits_real 0.1537, logits_fake 0.1541,
Train Epoch: [1/5] Iters:[340/20018] gen_loss -0.1312, rec_loss 0.0250, lpips_loss 0.2088, g_loss -0.1538, disc_weight 0.4000, disc_adaptive_weight 2.3723, d_loss 0.5571, logits_real 0.1532, logits_fake 0.1536,
Train Epoch: [1/5] Iters:[350/20018] gen_loss -0.0948, rec_loss 0.0247, lpips_loss 0.2095, g_loss -0.1532, disc_weight 0.4000, disc_adaptive_weight 2.1477, d_loss 0.5522, logits_real 0.1525, logits_fake 0.1530,
Train Epoch: [1/5] Iters:[360/20018] gen_loss -0.0977, rec_loss 0.0249, lpips_loss 0.2089, g_loss -0.1524, disc_weight 0.4000, disc_adaptive_weight 2.1754, d_loss 0.5483, logits_real 0.1520, logits_fake 0.1525,
Train Epoch: [1/5] Iters:[370/20018] gen_loss -0.1002, rec_loss 0.0241, lpips_loss 0.2071, g_loss -0.1519, disc_weight 0.4000, disc_adaptive_weight 2.1813, d_loss 0.5436, logits_real 0.1517, logits_fake 0.1518,
Train Epoch: [1/5] Iters:[380/20018] gen_loss -0.0952, rec_loss 0.0244, lpips_loss 0.2062, g_loss -0.1512, disc_weight 0.4000, disc_adaptive_weight 2.1557, d_loss 0.5394, logits_real 0.1511, logits_fake 0.1512,
Train Epoch: [1/5] Iters:[390/20018] gen_loss -0.0962, rec_loss 0.0247, lpips_loss 0.2075, g_loss -0.1505, disc_weight 0.4000, disc_adaptive_weight 2.1836, d_loss 0.5361, logits_real 0.1504, logits_fake 0.1506,
Train Epoch: [1/5] Iters:[400/20018] gen_loss -0.1236, rec_loss 0.0246, lpips_loss 0.2052, g_loss -0.1499, disc_weight 0.4000, disc_adaptive_weight 2.3566, d_loss 0.5329, logits_real 0.1497, logits_fake 0.1499,
Train Epoch: [1/5] Iters:[410/20018] gen_loss -0.1054, rec_loss 0.0243, lpips_loss 0.2046, g_loss -0.1492, disc_weight 0.4000, disc_adaptive_weight 2.2395, d_loss 0.5296, logits_real 0.1490, logits_fake 0.1493,
Train Epoch: [1/5] Iters:[420/20018] gen_loss -0.1299, rec_loss 0.0242, lpips_loss 0.2046, g_loss -0.1488, disc_weight 0.4000, disc_adaptive_weight 2.4102, d_loss 0.5263, logits_real 0.1485, logits_fake 0.1489,
Train Epoch: [1/5] Iters:[430/20018] gen_loss -0.1549, rec_loss 0.0235, lpips_loss 0.2042, g_loss -0.1485, disc_weight 0.4000, disc_adaptive_weight 2.5754, d_loss 0.5229, logits_real 0.1482, logits_fake 0.1486,
Train Epoch: [1/5] Iters:[440/20018] gen_loss -0.1429, rec_loss 0.0237, lpips_loss 0.2044, g_loss -0.1481, disc_weight 0.4000, disc_adaptive_weight 2.5043, d_loss 0.5195, logits_real 0.1478, logits_fake 0.1481,
Train Epoch: [1/5] Iters:[450/20018] gen_loss -0.1488, rec_loss 0.0237, lpips_loss 0.2058, g_loss -0.1477, disc_weight 0.4000, disc_adaptive_weight 2.5623, d_loss 0.5168, logits_real 0.1475, logits_fake 0.1478,
Train Epoch: [1/5] Iters:[460/20018] gen_loss -0.1703, rec_loss 0.0239, lpips_loss 0.2052, g_loss -0.1474, disc_weight 0.4000, disc_adaptive_weight 2.7111, d_loss 0.5139, logits_real 0.1470, logits_fake 0.1473,
Train Epoch: [1/5] Iters:[470/20018] gen_loss -0.1541, rec_loss 0.0241, lpips_loss 0.2069, g_loss -0.1468, disc_weight 0.4000, disc_adaptive_weight 2.6231, d_loss 0.5114, logits_real 0.1467, logits_fake 0.1468,
Train Epoch: [1/5] Iters:[480/20018] gen_loss -0.1231, rec_loss 0.0240, lpips_loss 0.2073, g_loss -0.1461, disc_weight 0.4000, disc_adaptive_weight 2.4275, d_loss 0.5086, logits_real 0.1460, logits_fake 0.1463,
Train Epoch: [1/5] Iters:[490/20018] gen_loss -0.1528, rec_loss 0.0236, lpips_loss 0.2063, g_loss -0.1456, disc_weight 0.4000, disc_adaptive_weight 2.6305, d_loss 0.5060, logits_real 0.1455, logits_fake 0.1458,
Train Epoch: [1/5] Iters:[500/20018] gen_loss -0.1530, rec_loss 0.0238, lpips_loss 0.2062, g_loss -0.1450, disc_weight 0.4000, disc_adaptive_weight 2.6432, d_loss 0.5029, logits_real 0.1448, logits_fake 0.1452,
Train Epoch: [1/5] Iters:[510/20018] gen_loss -0.1465, rec_loss 0.0240, lpips_loss 0.2069, g_loss -0.1444, disc_weight 0.4000, disc_adaptive_weight 2.6151, d_loss 0.5010, logits_real 0.1440, logits_fake 0.1445,
Train Epoch: [1/5] Iters:[520/20018] gen_loss -0.1364, rec_loss 0.0241, lpips_loss 0.2054, g_loss -0.1436, disc_weight 0.4000, disc_adaptive_weight 2.5473, d_loss 0.4985, logits_real 0.1433, logits_fake 0.1438,
Train Epoch: [1/5] Iters:[530/20018] gen_loss -0.1299, rec_loss 0.0244, lpips_loss 0.2056, g_loss -0.1431, disc_weight 0.4000, disc_adaptive_weight 2.5128, d_loss 0.4962, logits_real 0.1428, logits_fake 0.1431,
Train Epoch: [1/5] Iters:[540/20018] gen_loss -0.1208, rec_loss 0.0248, lpips_loss 0.2061, g_loss -0.1425, disc_weight 0.4000, disc_adaptive_weight 2.4674, d_loss 0.4941, logits_real 0.1421, logits_fake 0.1425,
Train Epoch: [1/5] Iters:[550/20018] gen_loss -0.1038, rec_loss 0.0249, lpips_loss 0.2068, g_loss -0.1420, disc_weight 0.4000, disc_adaptive_weight 2.3638, d_loss 0.4925, logits_real 0.1415, logits_fake 0.1417,
Train Epoch: [1/5] Iters:[560/20018] gen_loss -0.0908, rec_loss 0.0247, lpips_loss 0.2078, g_loss -0.1414, disc_weight 0.4000, disc_adaptive_weight 2.2863, d_loss 0.4895, logits_real 0.1411, logits_fake 0.1413,
Train Epoch: [1/5] Iters:[570/20018] gen_loss -0.1043, rec_loss 0.0248, lpips_loss 0.2084, g_loss -0.1410, disc_weight 0.4000, disc_adaptive_weight 2.3955, d_loss 0.4868, logits_real 0.1408, logits_fake 0.1408,
Train Epoch: [1/5] Iters:[580/20018] gen_loss -0.1327, rec_loss 0.0245, lpips_loss 0.2077, g_loss -0.1403, disc_weight 0.4000, disc_adaptive_weight 2.6000, d_loss 0.4851, logits_real 0.1402, logits_fake 0.1403,
Train Epoch: [1/5] Iters:[590/20018] gen_loss -0.1105, rec_loss 0.0247, lpips_loss 0.2083, g_loss -0.1396, disc_weight 0.4000, disc_adaptive_weight 2.4614, d_loss 0.4830, logits_real 0.1397, logits_fake 0.1396,
Train Epoch: [1/5] Iters:[600/20018] gen_loss -0.1343, rec_loss 0.0243, lpips_loss 0.2077, g_loss -0.1391, disc_weight 0.4000, disc_adaptive_weight 2.6339, d_loss 0.4807, logits_real 0.1393, logits_fake 0.1390,
Train Epoch: [1/5] Iters:[610/20018] gen_loss -0.1396, rec_loss 0.0244, lpips_loss 0.2069, g_loss -0.1387, disc_weight 0.4000, disc_adaptive_weight 2.6725, d_loss 0.4791, logits_real 0.1389, logits_fake 0.1386,
Train Epoch: [1/5] Iters:[620/20018] gen_loss -0.1229, rec_loss 0.0244, lpips_loss 0.2061, g_loss -0.1382, disc_weight 0.4000, disc_adaptive_weight 2.5555, d_loss 0.4777, logits_real 0.1382, logits_fake 0.1380,
Train Epoch: [1/5] Iters:[630/20018] gen_loss -0.1327, rec_loss 0.0243, lpips_loss 0.2054, g_loss -0.1377, disc_weight 0.4000, disc_adaptive_weight 2.6315, d_loss 0.4753, logits_real 0.1377, logits_fake 0.1376,
Train Epoch: [1/5] Iters:[640/20018] gen_loss -0.1324, rec_loss 0.0240, lpips_loss 0.2045, g_loss -0.1374, disc_weight 0.4000, disc_adaptive_weight 2.6248, d_loss 0.4738, logits_real 0.1371, logits_fake 0.1372,
Train Epoch: [1/5] Iters:[650/20018] gen_loss -0.1353, rec_loss 0.0241, lpips_loss 0.2046, g_loss -0.1366, disc_weight 0.4000, disc_adaptive_weight 2.6672, d_loss 0.4722, logits_real 0.1367, logits_fake 0.1368,
Train Epoch: [1/5] Iters:[660/20018] gen_loss -0.1354, rec_loss 0.0240, lpips_loss 0.2047, g_loss -0.1361, disc_weight 0.4000, disc_adaptive_weight 2.6773, d_loss 0.4708, logits_real 0.1362, logits_fake 0.1362,
Train Epoch: [1/5] Iters:[670/20018] gen_loss -0.1392, rec_loss 0.0237, lpips_loss 0.2053, g_loss -0.1356, disc_weight 0.4000, disc_adaptive_weight 2.7157, d_loss 0.4696, logits_real 0.1358, logits_fake 0.1356,
Train Epoch: [1/5] Iters:[680/20018] gen_loss -0.1105, rec_loss 0.0237, lpips_loss 0.2057, g_loss -0.1347, disc_weight 0.4000, disc_adaptive_weight 2.5241, d_loss 0.4681, logits_real 0.1352, logits_fake 0.1348,
Train Epoch: [1/5] Iters:[690/20018] gen_loss -0.1107, rec_loss 0.0238, lpips_loss 0.2062, g_loss -0.1339, disc_weight 0.4000, disc_adaptive_weight 2.5430, d_loss 0.4666, logits_real 0.1344, logits_fake 0.1343,
Train Epoch: [1/5] Iters:[700/20018] gen_loss -0.0862, rec_loss 0.0239, lpips_loss 0.2056, g_loss -0.1332, disc_weight 0.4000, disc_adaptive_weight 2.3724, d_loss 0.4652, logits_real 0.1336, logits_fake 0.1333,
Train Epoch: [1/5] Iters:[710/20018] gen_loss -0.0999, rec_loss 0.0239, lpips_loss 0.2049, g_loss -0.1323, disc_weight 0.4000, disc_adaptive_weight 2.4874, d_loss 0.4633, logits_real 0.1327, logits_fake 0.1324,
Train Epoch: [1/5] Iters:[720/20018] gen_loss -0.1032, rec_loss 0.0240, lpips_loss 0.2041, g_loss -0.1316, disc_weight 0.4000, disc_adaptive_weight 2.5179, d_loss 0.4618, logits_real 0.1320, logits_fake 0.1318,
Train Epoch: [1/5] Iters:[730/20018] gen_loss -0.1014, rec_loss 0.0244, lpips_loss 0.2052, g_loss -0.1311, disc_weight 0.4000, disc_adaptive_weight 2.5246, d_loss 0.4608, logits_real 0.1313, logits_fake 0.1312,
Train Epoch: [1/5] Iters:[740/20018] gen_loss -0.1192, rec_loss 0.0247, lpips_loss 0.2057, g_loss -0.1304, disc_weight 0.4000, disc_adaptive_weight 2.6808, d_loss 0.4593, logits_real 0.1307, logits_fake 0.1304,
Train Epoch: [1/5] Iters:[750/20018] gen_loss -0.1230, rec_loss 0.0245, lpips_loss 0.2050, g_loss -0.1301, disc_weight 0.4000, disc_adaptive_weight 2.7104, d_loss 0.4579, logits_real 0.1302, logits_fake 0.1300,
Train Epoch: [1/5] Iters:[760/20018] gen_loss -0.1341, rec_loss 0.0242, lpips_loss 0.2054, g_loss -0.1297, disc_weight 0.4000, disc_adaptive_weight 2.8053, d_loss 0.4566, logits_real 0.1296, logits_fake 0.1296,
Train Epoch: [1/5] Iters:[770/20018] gen_loss -0.1317, rec_loss 0.0241, lpips_loss 0.2053, g_loss -0.1290, disc_weight 0.4000, disc_adaptive_weight 2.7987, d_loss 0.4545, logits_real 0.1290, logits_fake 0.1289,
Train Epoch: [1/5] Iters:[780/20018] gen_loss -0.1333, rec_loss 0.0239, lpips_loss 0.2045, g_loss -0.1285, disc_weight 0.4000, disc_adaptive_weight 2.8119, d_loss 0.4532, logits_real 0.1285, logits_fake 0.1283,
Train Epoch: [1/5] Iters:[790/20018] gen_loss -0.1112, rec_loss 0.0236, lpips_loss 0.2039, g_loss -0.1279, disc_weight 0.4000, disc_adaptive_weight 2.6464, d_loss 0.4519, logits_real 0.1280, logits_fake 0.1277,
Train Epoch: [1/5] Iters:[800/20018] gen_loss -0.0841, rec_loss 0.0238, lpips_loss 0.2051, g_loss -0.1273, disc_weight 0.4000, disc_adaptive_weight 2.4549, d_loss 0.4506, logits_real 0.1276, logits_fake 0.1272,
Train Epoch: [1/5] Iters:[810/20018] gen_loss -0.0628, rec_loss 0.0240, lpips_loss 0.2055, g_loss -0.1268, disc_weight 0.4000, disc_adaptive_weight 2.3044, d_loss 0.4495, logits_real 0.1272, logits_fake 0.1267,
Train Epoch: [1/5] Iters:[820/20018] gen_loss -0.0879, rec_loss 0.0240, lpips_loss 0.2055, g_loss -0.1264, disc_weight 0.4000, disc_adaptive_weight 2.5133, d_loss 0.4492, logits_real 0.1267, logits_fake 0.1263,
Train Epoch: [1/5] Iters:[830/20018] gen_loss -0.0701, rec_loss 0.0240, lpips_loss 0.2050, g_loss -0.1258, disc_weight 0.4000, disc_adaptive_weight 2.3771, d_loss 0.4484, logits_real 0.1262, logits_fake 0.1260,
Train Epoch: [1/5] Iters:[840/20018] gen_loss -0.0989, rec_loss 0.0239, lpips_loss 0.2051, g_loss -0.1256, disc_weight 0.4000, disc_adaptive_weight 2.6134, d_loss 0.4478, logits_real 0.1257, logits_fake 0.1256,
Train Epoch: [1/5] Iters:[850/20018] gen_loss -0.1127, rec_loss 0.0237, lpips_loss 0.2040, g_loss -0.1250, disc_weight 0.4000, disc_adaptive_weight 2.7226, d_loss 0.4470, logits_real 0.1250, logits_fake 0.1251,
Train Epoch: [1/5] Iters:[860/20018] gen_loss -0.1191, rec_loss 0.0240, lpips_loss 0.2041, g_loss -0.1244, disc_weight 0.4000, disc_adaptive_weight 2.7920, d_loss 0.4466, logits_real 0.1243, logits_fake 0.1246,
Train Epoch: [1/5] Iters:[870/20018] gen_loss -0.1128, rec_loss 0.0242, lpips_loss 0.2053, g_loss -0.1238, disc_weight 0.4000, disc_adaptive_weight 2.7670, d_loss 0.4454, logits_real 0.1239, logits_fake 0.1240,
Train Epoch: [1/5] Iters:[880/20018] gen_loss -0.1272, rec_loss 0.0243, lpips_loss 0.2060, g_loss -0.1232, disc_weight 0.4000, disc_adaptive_weight 2.9017, d_loss 0.4441, logits_real 0.1234, logits_fake 0.1235,
Train Epoch: [1/5] Iters:[890/20018] gen_loss -0.1050, rec_loss 0.0240, lpips_loss 0.2052, g_loss -0.1225, disc_weight 0.4000, disc_adaptive_weight 2.7276, d_loss 0.4426, logits_real 0.1229, logits_fake 0.1229,
Train Epoch: [1/5] Iters:[900/20018] gen_loss -0.1086, rec_loss 0.0245, lpips_loss 0.2070, g_loss -0.1219, disc_weight 0.4000, disc_adaptive_weight 2.7880, d_loss 0.4418, logits_real 0.1222, logits_fake 0.1221,
