dataset_dir: /datasets/
dataset_name: ImageNet
global_batch_size: 64
workers: 6
resolution: 256
channels: 3
ms_patch_size: 1_2_3_4_5_6_8_10_13_16
importance: (1, 1, 1, 2, 2, 2, 3, 3, 5, 5)
max_patch_size: 16
codebook_size: 8192
codebook_dim: 32
project_dim: 16
pq: 1
L: 4
alpha: 1.0
beta: 1.0
gamma: 0.0
disc_weight: 0.5
lecam_loss_weight: 0.001
disc_cr_loss_weight: 4.0
VQ: vanilla_vq
use_multiscale: True
transplant_epochs: 2
refinement_epochs: 5
eval_epochs: 1
disc_epoch: 1
lr_transplant: 0.0001
lr_refinement: 1e-05
dropout: 0.0
seed: 3407
weight_decay: 0.0001
stage: refinement
checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/Refinement/ImageNet
results_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/results/Refinement/ImageNet
saver_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/saver/Refinement/ImageNet
reconstruction_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/reconstruction/Refinement/ImageNet
yaml_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/yaml/Refinement/ImageNet
pretrained_tokenizer: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/pretrained_tokenizer/vae_ch160v4096z32.pth
checkpoint_name: checkpoint-vanilla_vq_transplant_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.2.pth.tar
nnodes: -1
node_rank: -1
local_rank: 0
dist_url: tcp://224.66.41.62:23456
dist_backend: nccl
world_size: 2
batch_size: 32
ms_token_size: (1, 2, 3, 4, 5, 6, 8, 10, 13, 16)
init_checkpoint_dir: /project/6105494/sunset/VQ-Projects/VQ-Transplant3/checkpoint/
data_pre: ImageNet
model_pre: model_8192_32_1
loss_pre: loss_1.0_1.0_0.0_0.5
training_pre: vanilla_vq_refinement_True
saver_name_pre: vanilla_vq_refinement_True_ImageNet_model_8192_32_1_loss_1.0_1.0_0.0_0.5
| distributed init (rank 0): env://
| distributed init (rank 1): env://
VQ Model Parameters: 108761795
loaded pretrained LPIPS loss from /project/6105494/sunset/VQ-Projects/VQ-Transplant3/code/models/cache/vgg.pth
dataset name: ImageNet
len train_set: 1281167
len val_set: 50000
Start training...
epoch:1, cur_lr:0.000010
Train Epoch: [1/5] Iters:[10/20018] gen_loss 0.1113, rec_loss 0.0325, lpips_loss 0.2073, g_loss -0.0632, disc_weight 0.5000, disc_adaptive_weight 2.0471, d_loss 2.5515, logits_real 0.0722, logits_fake 0.0633,
Train Epoch: [1/5] Iters:[120/20018] gen_loss 0.1376, rec_loss 0.0355, lpips_loss 0.2109, g_loss -0.0591, disc_weight 0.5000, disc_adaptive_weight 1.8431, d_loss 0.9856, logits_real 0.0585, logits_fake 0.0593,
Train Epoch: [1/5] Iters:[130/20018] gen_loss 0.1428, rec_loss 0.0358, lpips_loss 0.2117, g_loss -0.0580, disc_weight 0.5000, disc_adaptive_weight 1.8027, d_loss 0.9414, logits_real 0.0575, logits_fake 0.0585,
Train Epoch: [1/5] Iters:[140/20018] gen_loss 0.1411, rec_loss 0.0348, lpips_loss 0.2110, g_loss -0.0566, disc_weight 0.5000, disc_adaptive_weight 1.8517, d_loss 0.9011, logits_real 0.0563, logits_fake 0.0571,
Train Epoch: [1/5] Iters:[150/20018] gen_loss 0.1464, rec_loss 0.0353, lpips_loss 0.2117, g_loss -0.0555, disc_weight 0.5000, disc_adaptive_weight 1.8112, d_loss 0.8697, logits_real 0.0551, logits_fake 0.0558,
Train Epoch: [1/5] Iters:[160/20018] gen_loss 0.1458, rec_loss 0.0349, lpips_loss 0.2110, g_loss -0.0542, disc_weight 0.5000, disc_adaptive_weight 1.8490, d_loss 0.8414, logits_real 0.0537, logits_fake 0.0543,
Train Epoch: [1/5] Iters:[170/20018] gen_loss 0.1515, rec_loss 0.0348, lpips_loss 0.2116, g_loss -0.0529, disc_weight 0.5000, disc_adaptive_weight 1.7936, d_loss 0.8183, logits_real 0.0526, logits_fake 0.0529,
Train Epoch: [1/5] Iters:[180/20018] gen_loss 0.1542, rec_loss 0.0343, lpips_loss 0.2096, g_loss -0.0518, disc_weight 0.5000, disc_adaptive_weight 1.7319, d_loss 0.7986, logits_real 0.0513, logits_fake 0.0514,
Train Epoch: [1/5] Iters:[190/20018] gen_loss 0.1569, rec_loss 0.0345, lpips_loss 0.2094, g_loss -0.0508, disc_weight 0.5000, disc_adaptive_weight 1.7161, d_loss 0.7817, logits_real 0.0502, logits_fake 0.0503,
Train Epoch: [1/5] Iters:[200/20018] gen_loss 0.1588, rec_loss 0.0343, lpips_loss 0.2088, g_loss -0.0497, disc_weight 0.5000, disc_adaptive_weight 1.7007, d_loss 0.7667, logits_real 0.0493, logits_fake 0.0493,
Train Epoch: [1/5] Iters:[210/20018] gen_loss 0.1592, rec_loss 0.0342, lpips_loss 0.2072, g_loss -0.0486, disc_weight 0.5000, disc_adaptive_weight 1.6998, d_loss 0.7531, logits_real 0.0483, logits_fake 0.0485,
Train Epoch: [1/5] Iters:[220/20018] gen_loss 0.1593, rec_loss 0.0342, lpips_loss 0.2067, g_loss -0.0475, disc_weight 0.5000, disc_adaptive_weight 1.7230, d_loss 0.7410, logits_real 0.0474, logits_fake 0.0475,
Train Epoch: [1/5] Iters:[230/20018] gen_loss 0.1583, rec_loss 0.0341, lpips_loss 0.2073, g_loss -0.0464, disc_weight 0.5000, disc_adaptive_weight 1.7923, d_loss 0.7291, logits_real 0.0463, logits_fake 0.0463,
Train Epoch: [1/5] Iters:[240/20018] gen_loss 0.1658, rec_loss 0.0350, lpips_loss 0.2085, g_loss -0.0452, disc_weight 0.5000, disc_adaptive_weight 1.7236, d_loss 0.7203, logits_real 0.0454, logits_fake 0.0451,
Train Epoch: [1/5] Iters:[250/20018] gen_loss 0.1649, rec_loss 0.0346, lpips_loss 0.2080, g_loss -0.0442, disc_weight 0.5000, disc_adaptive_weight 1.7571, d_loss 0.7112, logits_real 0.0445, logits_fake 0.0441,
Train Epoch: [1/5] Iters:[260/20018] gen_loss 0.1682, rec_loss 0.0345, lpips_loss 0.2090, g_loss -0.0437, disc_weight 0.5000, disc_adaptive_weight 1.7215, d_loss 0.7029, logits_real 0.0439, logits_fake 0.0434,
Train Epoch: [1/5] Iters:[270/20018] gen_loss 0.1710, rec_loss 0.0345, lpips_loss 0.2082, g_loss -0.0427, disc_weight 0.5000, disc_adaptive_weight 1.6764, d_loss 0.6957, logits_real 0.0430, logits_fake 0.0423,
Train Epoch: [1/5] Iters:[280/20018] gen_loss 0.1719, rec_loss 0.0343, lpips_loss 0.2071, g_loss -0.0419, disc_weight 0.5000, disc_adaptive_weight 1.6562, d_loss 0.6894, logits_real 0.0423, logits_fake 0.0417,
Train Epoch: [1/5] Iters:[290/20018] gen_loss 0.1677, rec_loss 0.0336, lpips_loss 0.2053, g_loss -0.0415, disc_weight 0.5000, disc_adaptive_weight 1.7135, d_loss 0.6823, logits_real 0.0418, logits_fake 0.0415,
Train Epoch: [1/5] Iters:[300/20018] gen_loss 0.1713, rec_loss 0.0342, lpips_loss 0.2051, g_loss -0.0408, disc_weight 0.5000, disc_adaptive_weight 1.6632, d_loss 0.6773, logits_real 0.0410, logits_fake 0.0409,
Train Epoch: [1/5] Iters:[310/20018] gen_loss 0.1726, rec_loss 0.0342, lpips_loss 0.2058, g_loss -0.0398, disc_weight 0.5000, disc_adaptive_weight 1.6929, d_loss 0.6722, logits_real 0.0399, logits_fake 0.0400,
Train Epoch: [1/5] Iters:[320/20018] gen_loss 0.1678, rec_loss 0.0349, lpips_loss 0.2075, g_loss -0.0392, disc_weight 0.5000, disc_adaptive_weight 1.9108, d_loss 0.6677, logits_real 0.0391, logits_fake 0.0395,
Train Epoch: [1/5] Iters:[330/20018] gen_loss 0.1703, rec_loss 0.0355, lpips_loss 0.2088, g_loss -0.0385, disc_weight 0.5000, disc_adaptive_weight 1.9277, d_loss 0.6630, logits_real 0.0384, logits_fake 0.0387,
Train Epoch: [1/5] Iters:[340/20018] gen_loss 0.1698, rec_loss 0.0351, lpips_loss 0.2080, g_loss -0.0378, disc_weight 0.5000, disc_adaptive_weight 1.9471, d_loss 0.6586, logits_real 0.0375, logits_fake 0.0376,
Train Epoch: [1/5] Iters:[350/20018] gen_loss 0.1687, rec_loss 0.0346, lpips_loss 0.2086, g_loss -0.0369, disc_weight 0.5000, disc_adaptive_weight 2.0237, d_loss 0.6533, logits_real 0.0365, logits_fake 0.0367,
Train Epoch: [1/5] Iters:[360/20018] gen_loss 0.1627, rec_loss 0.0348, lpips_loss 0.2080, g_loss -0.0363, disc_weight 0.5000, disc_adaptive_weight 2.2114, d_loss 0.6495, logits_real 0.0358, logits_fake 0.0361,
Train Epoch: [1/5] Iters:[370/20018] gen_loss 0.1672, rec_loss 0.0338, lpips_loss 0.2063, g_loss -0.0355, disc_weight 0.5000, disc_adaptive_weight 2.0533, d_loss 0.6446, logits_real 0.0352, logits_fake 0.0352,
Train Epoch: [1/5] Iters:[380/20018] gen_loss 0.1654, rec_loss 0.0341, lpips_loss 0.2055, g_loss -0.0346, disc_weight 0.5000, disc_adaptive_weight 2.1440, d_loss 0.6402, logits_real 0.0342, logits_fake 0.0344,
Train Epoch: [1/5] Iters:[390/20018] gen_loss 0.1686, rec_loss 0.0344, lpips_loss 0.2069, g_loss -0.0337, disc_weight 0.5000, disc_adaptive_weight 2.1558, d_loss 0.6368, logits_real 0.0335, logits_fake 0.0336,
Train Epoch: [1/5] Iters:[400/20018] gen_loss 0.1657, rec_loss 0.0340, lpips_loss 0.2044, g_loss -0.0330, disc_weight 0.5000, disc_adaptive_weight 2.1980, d_loss 0.6330, logits_real 0.0329, logits_fake 0.0330,
Train Epoch: [1/5] Iters:[410/20018] gen_loss 0.1689, rec_loss 0.0337, lpips_loss 0.2036, g_loss -0.0320, disc_weight 0.5000, disc_adaptive_weight 2.1521, d_loss 0.6290, logits_real 0.0321, logits_fake 0.0320,
Train Epoch: [1/5] Iters:[420/20018] gen_loss 0.1662, rec_loss 0.0334, lpips_loss 0.2031, g_loss -0.0311, disc_weight 0.5000, disc_adaptive_weight 2.2757, d_loss 0.6259, logits_real 0.0310, logits_fake 0.0312,
Train Epoch: [1/5] Iters:[430/20018] gen_loss 0.1675, rec_loss 0.0326, lpips_loss 0.2031, g_loss -0.0303, disc_weight 0.5000, disc_adaptive_weight 2.2610, d_loss 0.6225, logits_real 0.0302, logits_fake 0.0303,
Train Epoch: [1/5] Iters:[440/20018] gen_loss 0.1644, rec_loss 0.0328, lpips_loss 0.2033, g_loss -0.0295, disc_weight 0.5000, disc_adaptive_weight 2.4394, d_loss 0.6193, logits_real 0.0292, logits_fake 0.0297,
Train Epoch: [1/5] Iters:[450/20018] gen_loss 0.1654, rec_loss 0.0330, lpips_loss 0.2052, g_loss -0.0288, disc_weight 0.5000, disc_adaptive_weight 2.5355, d_loss 0.6170, logits_real 0.0284, logits_fake 0.0288,
Train Epoch: [1/5] Iters:[460/20018] gen_loss 0.1677, rec_loss 0.0332, lpips_loss 0.2050, g_loss -0.0281, disc_weight 0.5000, disc_adaptive_weight 2.5117, d_loss 0.6138, logits_real 0.0275, logits_fake 0.0280,
Train Epoch: [1/5] Iters:[470/20018] gen_loss 0.1733, rec_loss 0.0335, lpips_loss 0.2073, g_loss -0.0271, disc_weight 0.5000, disc_adaptive_weight 2.4838, d_loss 0.6112, logits_real 0.0268, logits_fake 0.0273,
Train Epoch: [1/5] Iters:[480/20018] gen_loss 0.1712, rec_loss 0.0335, lpips_loss 0.2077, g_loss -0.0267, disc_weight 0.5000, disc_adaptive_weight 2.6257, d_loss 0.6088, logits_real 0.0262, logits_fake 0.0266,
Train Epoch: [1/5] Iters:[490/20018] gen_loss 0.1726, rec_loss 0.0328, lpips_loss 0.2068, g_loss -0.0258, disc_weight 0.5000, disc_adaptive_weight 2.6018, d_loss 0.6050, logits_real 0.0252, logits_fake 0.0258,
Train Epoch: [1/5] Iters:[500/20018] gen_loss 0.1749, rec_loss 0.0329, lpips_loss 0.2064, g_loss -0.0253, disc_weight 0.5000, disc_adaptive_weight 2.5559, d_loss 0.6017, logits_real 0.0246, logits_fake 0.0252,
Train Epoch: [1/5] Iters:[510/20018] gen_loss 0.1759, rec_loss 0.0330, lpips_loss 0.2069, g_loss -0.0245, disc_weight 0.5000, disc_adaptive_weight 2.6259, d_loss 0.5998, logits_real 0.0240, logits_fake 0.0245,
Train Epoch: [1/5] Iters:[520/20018] gen_loss 0.1774, rec_loss 0.0329, lpips_loss 0.2047, g_loss -0.0240, disc_weight 0.5000, disc_adaptive_weight 2.5028, d_loss 0.5969, logits_real 0.0235, logits_fake 0.0239,
Train Epoch: [1/5] Iters:[530/20018] gen_loss 0.1820, rec_loss 0.0329, lpips_loss 0.2045, g_loss -0.0232, disc_weight 0.5000, disc_adaptive_weight 2.3883, d_loss 0.5943, logits_real 0.0226, logits_fake 0.0230,
Train Epoch: [1/5] Iters:[540/20018] gen_loss 0.1882, rec_loss 0.0335, lpips_loss 0.2049, g_loss -0.0225, disc_weight 0.5000, disc_adaptive_weight 2.2337, d_loss 0.5925, logits_real 0.0222, logits_fake 0.0225,
Train Epoch: [1/5] Iters:[550/20018] gen_loss 0.1874, rec_loss 0.0336, lpips_loss 0.2056, g_loss -0.0217, disc_weight 0.5000, disc_adaptive_weight 2.4111, d_loss 0.5907, logits_real 0.0216, logits_fake 0.0219,
Train Epoch: [1/5] Iters:[560/20018] gen_loss 0.1881, rec_loss 0.0335, lpips_loss 0.2068, g_loss -0.0215, disc_weight 0.5000, disc_adaptive_weight 2.4543, d_loss 0.5886, logits_real 0.0212, logits_fake 0.0216,
Train Epoch: [1/5] Iters:[570/20018] gen_loss 0.1873, rec_loss 0.0337, lpips_loss 0.2078, g_loss -0.0211, disc_weight 0.5000, disc_adaptive_weight 2.5743, d_loss 0.5863, logits_real 0.0209, logits_fake 0.0213,
Train Epoch: [1/5] Iters:[580/20018] gen_loss 0.1880, rec_loss 0.0334, lpips_loss 0.2072, g_loss -0.0207, disc_weight 0.5000, disc_adaptive_weight 2.5441, d_loss 0.5842, logits_real 0.0208, logits_fake 0.0211,
Train Epoch: [1/5] Iters:[590/20018] gen_loss 0.1889, rec_loss 0.0336, lpips_loss 0.2078, g_loss -0.0205, disc_weight 0.5000, disc_adaptive_weight 2.5479, d_loss 0.5824, logits_real 0.0206, logits_fake 0.0210,
Train Epoch: [1/5] Iters:[600/20018] gen_loss 0.1925, rec_loss 0.0330, lpips_loss 0.2073, g_loss -0.0201, disc_weight 0.5000, disc_adaptive_weight 2.3641, d_loss 0.5806, logits_real 0.0200, logits_fake 0.0206,
Train Epoch: [1/5] Iters:[610/20018] gen_loss 0.1964, rec_loss 0.0330, lpips_loss 0.2062, g_loss -0.0197, disc_weight 0.5000, disc_adaptive_weight 2.1723, d_loss 0.5776, logits_real 0.0194, logits_fake 0.0200,
Train Epoch: [1/5] Iters:[620/20018] gen_loss 0.1981, rec_loss 0.0331, lpips_loss 0.2055, g_loss -0.0192, disc_weight 0.5000, disc_adaptive_weight 2.1092, d_loss 0.5756, logits_real 0.0188, logits_fake 0.0193,
Train Epoch: [1/5] Iters:[630/20018] gen_loss 0.1993, rec_loss 0.0329, lpips_loss 0.2050, g_loss -0.0187, disc_weight 0.5000, disc_adaptive_weight 2.0621, d_loss 0.5737, logits_real 0.0183, logits_fake 0.0187,
Train Epoch: [1/5] Iters:[640/20018] gen_loss 0.2002, rec_loss 0.0327, lpips_loss 0.2044, g_loss -0.0180, disc_weight 0.5000, disc_adaptive_weight 2.0422, d_loss 0.5719, logits_real 0.0176, logits_fake 0.0179,
Train Epoch: [1/5] Iters:[650/20018] gen_loss 0.2025, rec_loss 0.0329, lpips_loss 0.2043, g_loss -0.0175, disc_weight 0.5000, disc_adaptive_weight 1.9848, d_loss 0.5702, logits_real 0.0169, logits_fake 0.0173,
Train Epoch: [1/5] Iters:[660/20018] gen_loss 0.2032, rec_loss 0.0328, lpips_loss 0.2045, g_loss -0.0167, disc_weight 0.5000, disc_adaptive_weight 2.0434, d_loss 0.5690, logits_real 0.0163, logits_fake 0.0167,
Train Epoch: [1/5] Iters:[670/20018] gen_loss 0.2037, rec_loss 0.0325, lpips_loss 0.2054, g_loss -0.0163, disc_weight 0.5000, disc_adaptive_weight 2.1090, d_loss 0.5683, logits_real 0.0158, logits_fake 0.0163,
Train Epoch: [1/5] Iters:[680/20018] gen_loss 0.2026, rec_loss 0.0325, lpips_loss 0.2055, g_loss -0.0157, disc_weight 0.5000, disc_adaptive_weight 2.2606, d_loss 0.5665, logits_real 0.0152, logits_fake 0.0158,
Train Epoch: [1/5] Iters:[690/20018] gen_loss 0.2029, rec_loss 0.0325, lpips_loss 0.2056, g_loss -0.0154, disc_weight 0.5000, disc_adaptive_weight 2.2881, d_loss 0.5646, logits_real 0.0150, logits_fake 0.0153,
Train Epoch: [1/5] Iters:[700/20018] gen_loss 0.2040, rec_loss 0.0328, lpips_loss 0.2055, g_loss -0.0151, disc_weight 0.5000, disc_adaptive_weight 2.2737, d_loss 0.5626, logits_real 0.0149, logits_fake 0.0150,
Train Epoch: [1/5] Iters:[710/20018] gen_loss 0.2043, rec_loss 0.0329, lpips_loss 0.2051, g_loss -0.0149, disc_weight 0.5000, disc_adaptive_weight 2.2554, d_loss 0.5611, logits_real 0.0148, logits_fake 0.0147,
Train Epoch: [1/5] Iters:[720/20018] gen_loss 0.2040, rec_loss 0.0328, lpips_loss 0.2039, g_loss -0.0146, disc_weight 0.5000, disc_adaptive_weight 2.2369, d_loss 0.5588, logits_real 0.0144, logits_fake 0.0145,
Train Epoch: [1/5] Iters:[730/20018] gen_loss 0.2079, rec_loss 0.0332, lpips_loss 0.2051, g_loss -0.0142, disc_weight 0.5000, disc_adaptive_weight 2.1247, d_loss 0.5574, logits_real 0.0141, logits_fake 0.0143,
Train Epoch: [1/5] Iters:[740/20018] gen_loss 0.2106, rec_loss 0.0337, lpips_loss 0.2059, g_loss -0.0137, disc_weight 0.5000, disc_adaptive_weight 2.1045, d_loss 0.5561, logits_real 0.0135, logits_fake 0.0139,
Train Epoch: [1/5] Iters:[750/20018] gen_loss 0.2084, rec_loss 0.0333, lpips_loss 0.2047, g_loss -0.0135, disc_weight 0.5000, disc_adaptive_weight 2.1815, d_loss 0.5553, logits_real 0.0132, logits_fake 0.0137,
Train Epoch: [1/5] Iters:[760/20018] gen_loss 0.2085, rec_loss 0.0330, lpips_loss 0.2053, g_loss -0.0132, disc_weight 0.5000, disc_adaptive_weight 2.2581, d_loss 0.5535, logits_real 0.0127, logits_fake 0.0132,
Train Epoch: [1/5] Iters:[770/20018] gen_loss 0.2089, rec_loss 0.0328, lpips_loss 0.2053, g_loss -0.0127, disc_weight 0.5000, disc_adaptive_weight 2.2824, d_loss 0.5521, logits_real 0.0125, logits_fake 0.0129,
Train Epoch: [1/5] Iters:[780/20018] gen_loss 0.2084, rec_loss 0.0326, lpips_loss 0.2046, g_loss -0.0124, disc_weight 0.5000, disc_adaptive_weight 2.3077, d_loss 0.5511, logits_real 0.0121, logits_fake 0.0126,
Train Epoch: [1/5] Iters:[790/20018] gen_loss 0.2072, rec_loss 0.0324, lpips_loss 0.2042, g_loss -0.0122, disc_weight 0.5000, disc_adaptive_weight 2.4075, d_loss 0.5505, logits_real 0.0118, logits_fake 0.0123,
Train Epoch: [1/5] Iters:[800/20018] gen_loss 0.2102, rec_loss 0.0326, lpips_loss 0.2052, g_loss -0.0118, disc_weight 0.5000, disc_adaptive_weight 2.3435, d_loss 0.5494, logits_real 0.0113, logits_fake 0.0117,
Train Epoch: [1/5] Iters:[810/20018] gen_loss 0.2128, rec_loss 0.0329, lpips_loss 0.2050, g_loss -0.0112, disc_weight 0.5000, disc_adaptive_weight 2.2288, d_loss 0.5487, logits_real 0.0111, logits_fake 0.0114,
Train Epoch: [1/5] Iters:[820/20018] gen_loss 0.2138, rec_loss 0.0331, lpips_loss 0.2051, g_loss -0.0108, disc_weight 0.5000, disc_adaptive_weight 2.2397, d_loss 0.5480, logits_real 0.0107, logits_fake 0.0107,
Train Epoch: [1/5] Iters:[830/20018] gen_loss 0.2137, rec_loss 0.0329, lpips_loss 0.2044, g_loss -0.0105, disc_weight 0.5000, disc_adaptive_weight 2.2493, d_loss 0.5468, logits_real 0.0104, logits_fake 0.0104,
Train Epoch: [1/5] Iters:[840/20018] gen_loss 0.2133, rec_loss 0.0327, lpips_loss 0.2041, g_loss -0.0102, disc_weight 0.5000, disc_adaptive_weight 2.2863, d_loss 0.5452, logits_real 0.0103, logits_fake 0.0104,
Train Epoch: [1/5] Iters:[850/20018] gen_loss 0.2123, rec_loss 0.0325, lpips_loss 0.2033, g_loss -0.0102, disc_weight 0.5000, disc_adaptive_weight 2.2935, d_loss 0.5441, logits_real 0.0101, logits_fake 0.0103,
Train Epoch: [1/5] Iters:[860/20018] gen_loss 0.2113, rec_loss 0.0327, lpips_loss 0.2034, g_loss -0.0102, disc_weight 0.5000, disc_adaptive_weight 2.4153, d_loss 0.5432, logits_real 0.0099, logits_fake 0.0102,
Train Epoch: [1/5] Iters:[870/20018] gen_loss 0.2122, rec_loss 0.0329, lpips_loss 0.2043, g_loss -0.0103, disc_weight 0.5000, disc_adaptive_weight 2.4259, d_loss 0.5420, logits_real 0.0100, logits_fake 0.0104,
Train Epoch: [1/5] Iters:[880/20018] gen_loss 0.2128, rec_loss 0.0333, lpips_loss 0.2053, g_loss -0.0102, disc_weight 0.5000, disc_adaptive_weight 2.5368, d_loss 0.5414, logits_real 0.0099, logits_fake 0.0103,
Train Epoch: [1/5] Iters:[890/20018] gen_loss 0.2126, rec_loss 0.0329, lpips_loss 0.2048, g_loss -0.0100, disc_weight 0.5000, disc_adaptive_weight 2.5227, d_loss 0.5407, logits_real 0.0098, logits_fake 0.0101,
Train Epoch: [1/5] Iters:[900/20018] gen_loss 0.2157, rec_loss 0.0335, lpips_loss 0.2069, g_loss -0.0098, disc_weight 0.5000, disc_adaptive_weight 2.5404, d_loss 0.5395, logits_real 0.0098, logits_fake 0.0100,
Train Epoch: [1/5] Iters:[910/20018] gen_loss 0.2161, rec_loss 0.0334, lpips_loss 0.2069, g_loss -0.0097, disc_weight 0.5000, disc_adaptive_weight 2.5052, d_loss 0.5390, logits_real 0.0097, logits_fake 0.0100,
Train Epoch: [1/5] Iters:[920/20018] gen_loss 0.2137, rec_loss 0.0331, lpips_loss 0.2052, g_loss -0.0094, disc_weight 0.5000, disc_adaptive_weight 2.6193, d_loss 0.5383, logits_real 0.0093, logits_fake 0.0095,
